livro,Capítulo,Verso inicial,Verso final,Obra,Capítulo,Tipo de Referência,Citação,
Mateus,6,9,13,Libertação pelo Amor,18 - Hábitos,Indireta,,
Mateus,6,9,15,Rejubila-te em Deus, 8 – A Psicologia da oração ,Indireta,"(...) Jesus foi taxativo e gentil, propondo a exaltação ao Pai em primeiro lugar, logo após as negativas e a gratidão, dizendo: Pai Nosso, que estais nos Céus...",
Mateus,6,9,15,                                Momentos de Alegria, 3 – O teu Deus interno,Indireta,"Jesus o chamou, sem qualquer atavio, Pai",
Mateus,6,9,15,                       Momentos de iluminação,    1 – A presença de Deus,                     Indireta,"... entregando-lhe o coração e a vida, conforme lecionou com ternura e emoção ao denominá-lo",
Mateus,6,13,13,                             O amor como solução, 17 - Cólera perversa,                     Indireta,"Não por outra razão que o Mestre, na oração dominical...",
Mateus,6,13,13,Oferenda,Profilaxia mental,Direta sem indexação do NT,,
Mateus,6,14,14,Autodescobrimento,10 - Conteúdos perturbadores ; a raiva,Indireta,,
Mateus,6,14,15,Convites da Vida,38 - Convite ao Perdão,Epígrafe,Nosso Pai,
Mateus,6,14,15,Libertação pelo Amor,9 - Terapia do perdão,Indireta,,
Mateus,6,19,19,Convites da Vida,12 - Convite ao Desprendimento,Epígrafe,,
Mateus,6,19,19,Sol de Esperança,31 - Fortunas de Amor,Direta sem indexação do NT,"Esteja o teu coração onde se encontrem os valiosos tesouros de amor que ""traça não roi, a ferrugem não consome nem os ladrões roubam.""",
Mateus,6,19,20,Momentos de Esperança,3 – Níveis de consciência ,Indireta,"Reúne tesouros no reino dos céus e coleta os recursos da paciência, da humildade, do perdão, da caridade nos cofres do amor, e serás rico de paz",
Mateus,6,19,20,Plenitude,6 - Altruísmo,Indireta,"""...aqueles que não tem preço, ""não enferrujam"", nem os ladrões roubam.""",
Mateus,6,19,21,Momentos de Meditação, 16 – Necessidades reais,Indireta,"... pois onde o depositares aí estará o teu coração, conforme acentuou Jesus, facultando-te ou não felicidade.",
Mateus,6,19,21,Jesus e Atualidade,11 - Jesus e Decisão,Indireta,ou acumular tesouros mortos para sepultá-los no olvido.,
Mateus,6,20,20,Libertação pelo Amor,6 - Permance em paz,Direta sem indexação do NT,,
Mateus,6,20,20,Vida Feliz,LXI,Direta sem indexação do NT,,
Mateus,6,20,21,Atitudes Renovadas,20 - Ditadura do ego,Direta com indexação do NT,,
Mateus,6,21,21,Dimensões da Verdade,26 - Sutis e perigosos,Direta sem indexação do NT,,
Mateus,6,21,21,Tesouros Libertadores,5 - Reino de Deus,Direta sem indexação do NT,O Reino de Deus - Ele informou - esta no coraçao,
Mateus,6,21,21,Vida: Desafios e Soluções,5 - Significao do ser integral,Indireta,Iniciamene é lícito fazer-se uma avalaçã doque são tesouos..,
Mateus,6,21,21,Sol de Esperança,31 - Fortunas de Amor,Direta sem indexação do NT,"Compreenderás porque, examinando o mundo e suas realizações, afirmou Jesus: ""Onde estiver o tesouro aí estará o coração.""",
Mateus,6,21,21,Vida plena,8 – Paisagem mental,Direta sem indexação do NT,,
Mateus,6,22,23,Autodescobrimento,3 - Consciência e vida ; incursão na consciência,Direta,,
Mateus,6,26,26,Fonte de Luz,21 - Livre escolha,Indireta,Jesus sempre nos apresentou o mundo com tintas inapagáveis de incomum beleza: as aves dos céus...,
Mateus,6,26,26,Luz nas Trevas,24 - Vícios pertubadores,Indireta,"A Sua sensibilidade propôs o exame de um lírio do campo na sua expressão mágica, assim como das aves dos céus que vivem sob a proteção de Deus. Examinou um grão de mostarda e deu-lhe significado profundo no que diz respeito à fé, à confiança que se deve ter em relação à Vi",
Mateus,6,26,26,Lições para a Felicidade,6 - Confia sempre em Deus,Indireta,,
Mateus,6,26,28,Autodescobrimento,11 - Os sentimentos: amigos ou adversários? ; os sofrimentos,Indireta,,
Mateus,6,28,28,Liberta-te do Mal,Pelas trilhas de Jesus,Indireta,"... sem ostentação, afável e simples como o lírio do campo...",
Mateus,6,33,33,Luz nas Trevas,24 - Vícios pertubadores,Direta,Busca primeiro o Reino de Deus e Sua Justiça,
Mateus,6,28,30,Fonte de Luz,21 - Livre escolha,Indireta,... e os lírios do campo com suas cores deslumbrantes...,
Mateus,6,33,33,"Amor, Imbativel Amor",23 - Necessidade de objetivo,Direta sem indexação do NT,,
Mateus,6,33,33,Após a Tempestade,4 - Paixões,Indireta,,
Mateus,6,33,33,Após a Tempestade,"7 - Delinquência, perversidade e violência",Direta sem indexação do NT,,
Mateus,6,33,33,Convites da Vida,40 - Convite à Previdência,Epígrafe,,
Mateus,6,33,33,Dimensões da Verdade,45 - Chorando para realizar,Direta sem indexação do NT,,
Mateus,6,33,33,Dimensões da Verdade,47 - Velho arrimo,Direta sem indexação do NT,,
Mateus,6,33,33,Entrega-te a Deus, 10- O significado existencial,Direta sem indexação do NT,Jesus foi enfático... Buscai primeiro o reino dos Céus e sua justiça...,
Mateus,6,33,33,Ilumina-te,  15 - A Sublime canção,Indireta,... Ele cantar o reino dos céus e sua justiça...,
Marcos,1,12,13,Tesouros Libertadores,6 -Tesouros Libertadores,Indireta,Ele foi testado de variadas formas,
Marcos,1,12,13,Luz nas Trevas,6 - A Benção do silêncio,Indireta,"Sempre que a multidão insaciável afligia o Mestre, ele buscava o deserto, renovando as forças para prosseguir. E foi lá, no grande silêncio, que viveu as tentações.",
Marcos,1,17,17,Vidas Vazias,10 - Divertimento e Futilidades,Indireta,"Todo o Evangelho de Jesus é um hino de beleza, de esperança, de edificação e de ternura beneficiando o mundo.",
Marcos,1,24,24,Libertação do Sofrimento,7 - A presença de Jesus,Indireta,,
Marcos,1,25,25,Alerta,8 - Palavra e Jesus,Direta sem indexação no NT,Ele afirmou: -Vinde comigo e eu vos farei pescadores de homens (e mulheres).,
Marcos,1,17,17,Florações Evangélicas,2 - Presença,Epígrafe,,
Marcos,2,1,12,Libertação do Sofrimento,5 - Curas aparentes e curas reais,Indireta,"Recolhe a rede dos divertimentos e atira-a no oceano humano, aquela que consegue a salvação de vidas.",
Marcos,2,11,11,Plenitude,9 - Processo de autovura,Direta sem indexação no NT,"""se quiseres, já que queres, concluindo: Levanta-te e anda",
Marcos,2,15,17,O amor como solução,4 - Valores eloquentes,Indireta,"Conviveu com os pecadores, de forma a demonstrar-lhes a inefável alegria da vida saudável.",
Marcos,2,16,17,Entrega-te a Deus,6 - Com alta significação,Indireta,... convivendo com pecadores e gente de má vida...,
Marcos,2,16,16,Tesouros Libertadores,5 - Reino de Deus,Indireta,"Por isso, sempre os privilegiava, fazendo refeiçoes com meretrizes, ébrios, ladroes, convivendo e auxiliando em sua necessidade. ",
Marcos,2,23,28,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,"Jamais se permitiu qualquer desobediência, e, se trabalhou no sábado, violando o estabelecido código do repouso nesse dia, é porque o sábado foi feito para o homem servir e não para sua inação.",
Marcos,3,17,17,Mundo Regenerado,12 - A sombra de João Evangelista,Direta sem indexação no NT,"Até hoje, as lembranças do apostolado do Filho do Trovão, como o denominara Jesus e ao seu irmão, Tiago, admoestando-os docentemente, após a explosão do temperamento - permanecem convidando todos ao ministério de amor e autodoação.",
Marcos,3,19,19,Vidas Vazias,4 - Conquista a tua paz,Indireta,"Sabendo que seria traído por um amigo e por outro negado, não demonstrou contrariedade nem decepção.",
Marcos,3,25,25,Celeiro de Bênçãos,9 - Neutralidade dinâmica,Direta sem indexação NT,,
Marcos,3,34,35,Luz Viva,30 - Laços Eternos,Direta sem indexação NT,"- Quem é minha mãe, quem são meus irmãos, senão aqueles que fazem a vontade do Pai?!",
Marcos,4,30,32,Lampadário Espírita,40 - Ante o dever,Indireta,"... considerou modesto ""grão de mostarda"",",
Marcos,4,30,32,Luz nas Trevas,24 - Vícios pertubadores,Indireta,"A Sua sensibilidade propôs o exame de um lírio do campo na sua expressão mágica, assim como das aves dos céus que vivem sob a proteção de Deus. Examinou um grão de mostarda e deu-lhe significado profundo no que diz respeito à fé, à confiança que se deve ter em relação à Vida espiritual e ao comportamento saudável na trajetória carnal.",
Marcos,4,30,32,Luz nas Trevas,1 - Uso da palavra,Indireta,"Tomou de um grão de mostarda insignificante, e transformou-o num poema de singeleza, num hino de referência à fé.",
Marcos,4,35,41,Filhos de Deus,10 - O Teu Cristo,Indireta,,
Marcos,4,35,41,Libertação do Sofrimento,7 - A presença de Jesus,Indireta,,
Marcos,5,1,20,Alerta,9 - Palavra e Jesus,Indireta,,
Marcos,5,1,20,Após a Tempestade,21 - Exorcismo,Indireta,,
Marcos,5,1,20,Dimensões da Verdade,10 - Auxílio agora,Indireta,,
Marcos,5,1,20,Libertação do Sofrimento,5 - Curas aparentes e curas reais,Indireta,,
Marcos,5,1,20,Otimismo,7 - Recursos desobsessivos,Direta sem indexação no NT,,
Marcos,5,23,23,Otimismo,3 - Imposição das mãos,Direta,,
Marcos,5,25,19,Nascente de Bênçãos,10 - Cirurgias Espirituais,Indireta,,
Marcos,5,25,34,Em Busca da Iluminação Interior,9 - Cegueira,Direta,,
Marcos,5,36,36,Rumos Libertadores,46 - A fé indispensável,Direta,,
Marcos,6,24,24,Lampadário Espírita, 23 – Doenças e doentes,Direta,"Seja o que for que peçais em prece, crede...",
Marcos,6,31,44,Filhos de Deus,10 - O Teu Cristo,Indireta,,
Marcos,6,37,44,Luz Viva, 16 - Dificuldades e Impedimentos,Indireta,"Ao saber, após a pregação, que a massa que O ouvira tinha fome, não apresentou nenhuma dificuldade ou impedimento algum para todos alimentar, mas repartiu pães e peixes que, não obstante a farta distribuição, excedeu aos que os necessitavam.",
Marcos,6,46,46,Luz nas Trevas, 16 - Libertação,Indireta,"Sempre que atendia as multidões famélicas de pão, de saúde e de amor, Jesus buscava a solidão para não se afastar da união com Deus, entregando-se-Lhe em dulcificadora oração.",
Marcos,6,46,46,Vidas Vazias,12 - Recorre à oração,Indireta,"Após atender as multidões, Jesus desaparecia da balbúrdia e dos comentários insensatos, para orar a Deus, no silencia do deserto...",
Marcos,7,23,23,Libertação do Sofrimento,18 - Os valores de alta significação,Direta,,
Marcos,7,29,29,Lampadário Espírita, 3 – Considerando a fé,Indireta,"Jesus, ante a mulher sírio fenícia",
Marcos,8,1,9,Filhos de Deus,10- O Teu Cristo,Indireta,,
Marcos,8,11,11,Lampadário Espírita, 26 - Confiança na mediunidade,Indireta,"... não sendo raras as vezes em que Ele mesmo foi nominalmente convocado a ""dar sinais""",
Marcos,8,34,34,Lampadário Espírita, 59 – Ainda a melancolia,Direta sem indexação no NT,Tomai a vossa cruz e vinde...,
Marcos,8,34,34,Luz Viva, 6 - Religião e Preconceitos,Direta sem indexação no NT,"- Quem quiser vir após mim, renuncie-se a si mesmo, tome a sua cruz e siga-me.",
Marcos,9,3,4,Lampadário Espírita,27 – Em permanente sintonia,Direta sem indexação no NT,"Jesus galgou o acume do Tabor para orar demoradamente por uma noite inteira, a fim de resplandecer alvinitente na",
Marcos,9,23,23,Conflitos Existenciais,12 - Drogadição ; terapira de urgência,Direta,,
Marcos,9,23,23,Florações Evangélicas,51 - Recursos espíritas,Epígrafe,,
Marcos,9,23,23,Libertação pelo Amor,2 - Inimigo insidioso,Indireta,,
Marcos,9,23,23,Oferenda,Terapêutica desobsessiva,Direta não indexada ao NT,,
Marcos,9,23,23,Roteiro de Libertação,Aceita a vida,Direta não indexada ao NT,,
Marcos ,9,23,24,Jesus e Atualidade,18 - Jesus e sofrimento,Indireta,Tu crês que eu te possa curar?,
Marcos,9,25,25,Florações Evangélicas,59 - Socorro mediúnico,Epígrafe,,
Marcos,9,35,35,Luz nas Trevas,27 - Impedimentos,Indireta,"Jesus deu o exemplo do trabalho incessante e jamais se deteve. 
 Chamou doze amigos para que cooperassem com Ele, embora fosse o Mestre Incomparável.
  
 Honrou o trabalho e estimulou os companheiros à solidariedade, à compreensão, à ajuda recíproca. 
 Sem dúvida, havia ciúme, desconfianças, lutas intestinas entre eles, mas Ele não desanimou.
 Equipou-os com os sublimes sentimentos do amor, preparando-os para a ascensão e o porvir.",
Marcos,9,50,50,Momentos de Saúde e de Consciência,Prefácio - Momento de Saúde,Indireta,"Psicoterapeuta incomum, propôs o autoexame em forma de receita para aquisição da paz, como decorrência das propostas de amor a Deus acima de todas as coisas e ao próximo como a si mesmo",
Marcos,10,14,14,Luz nas Trevas,11 - Juventude e Conhecimento,Indireta,"O convite de Jesus às crianças, ainda não maculadas, estende-se a todos aqueles que pretendem a juventude perene.",
Marcos,10,17,31,Luz nas Trevas,21 - Compromissos com a vida,Direta sem indexação no NT,"No encontro de Jesus com o moço rico que ia disputar a corrida em Cesareia, o Mestre lhe disse, enfático:- Vem hoje! 
 Ele pediu para postergar a sua entrega para após os jogos próximos e, rico de juventude, partiu para a desencarnação na festa do dia seguinte, havendo perdido a excelente oportunidade de O seguir naquele momento.",
Marcos,10,45,45,Florações Evangélicas,50 - Tolerância e fraternidade,Epígrafe,,
Marcos,10,46,52,Libertação do Sofrimento,5 - Curas aparentes e curas reais,Indireta,,
Marcos,10,46,52,Em Busca da Iluminação Interior,9 - Cegueira,Direta,,
Marcos,11,1,11,Liberta-te do Mal, 11 – Permanece em serenidade,Indireta,"Quem O visse triunfante ao adentrar sob aplauso e festa em Jerusalém, não podia imaginar...",
Marcos,11,22,22,Momentos de Alegria,,Indireta,,
Marcos,11,22,22,Florações Evangélicas,53 - Penhor da fé,Epígrafe,Com inexcedível amor a todos perdoou e pediu ao Pai clemência e misericórdia para os alucinados.,
Marcos,11,24,24,Florações Evangélicas,60 - Oração no ano novo,Epígrafe,,
Marcos,11,24,24,Jesus e o Evangelho à luz da Psicologia...,35 - Pedir e conseguir,Epígrafe,,
Marcos,11,25,25,Florações Evangélicas,24 - Mágoa,Epígrafe,,
Marcos,11,25,25,No Limiar do Infinito,19 - A comunhão com Deus,Direta sem indexação no NT,,
Marcos,11,25,26,Tesouros Libertadores,2 - Ante a espada e a cruz,Direta sem indexação no NT,"Perdoa sempre, a fim de viveres em paz.",
Marcos,12,14,14,Jesus e Atualidade,13 - Jesus e Revolução ,Indireta,Lhe inquiriram se era lícito pagar-se o imposto,
Marcos,12,14,17,Entega-te a Deus,6 - Com alta significação,Indireta,... não recusou o devotamento de uma ex-obsessa do sexo desvairado nem a gentileza do rude cobrador de impostos...,
Marcos,12,30,31,Conflitos Existenciais,19 - Amor ; sublimação do amor,Indireta,,
Marcos,12,42,42,Entrega-te a Deus,29- O tormento do egoismo,Indireta,"(...) compondo poemas insuperáveis com os grãos de mostarda, os peixes e os pães, a semeadura e a sega, as redes e as moedas, as ovelhas e o azeite...",
Marcos,12,30,31,Nascente de Bênçãos,05 - Compromisso com o Amor,Indireta,,
Marcos,12,44,44,Jesus e o Evangelho à luz da Psicologia...,A piedade,Epígrafe,,
Marcos,13,1,32,Liberta-te do Mal,Fidelidade até o fim,Direta,"(...) quando enunciou o seu célebre Sermão profético, conforme se lê em Marcos 13...",
Marcos,13,1,32,Liberta-te do Mal,Crianças de uma nova era,Direta,"(...) mensagem do Sermão profético, conforme narrativa de Marcos no capítulo XIII, versículos 1 a 32.",
Marcos,13,1,37,Jesus e Vida,1 - A grande Transição,Indireta,,
Marcos,13,1,37,Libertação pelo Amor,Prefácio,Indireta,,
Marcos,13,17,17,Liberta-te do Mal,Crianças de uma nova era,Direta ,"Quando, no sermão profético, narrado pelo evangelista Marcos, Jesus se refere às grávidas e às que amamentarem...",
Marcos,13,28,28,Lampadário Espírita,40 - Ante o dever,Indireta,"... toscos ""ramos de figueira"",",
Marcos,13,33,33,Iluminação Interior,8 - Dramas existenciais,Direta,,
Marcos,13,33,33,Momentos de iluminação,  11 – Ante o tempo,Indireta,Jesus ensinou-nos esta conduta fazendo tudo quanto pretendia e emulando-nos a valorizar o hoje face à sua grandiosa significação,
Marcos,14,1,8,Entrega-te a Deus,29 - O tormento do egoismo,Indireta,"Recebeu com naturalidade... das lágrimas de uma mulher recuperada de processo obsessivo e destacou que, naquele gesto, ela o embalsamava por antecipação.",
Marcos,14,7,7,Vidas Vazias,25 - Recomeço,Direta sem indexação no NT,"Vale recordar-se a resposta dada por Jesus a Judas, quando banhado pelo raro perfume oferecido pela mulher equivocada, que exclamou:
  
 Que pena! Poder-se-ia vendê-lo e ofertar o resultado aos pobres.
  
 E Ele contrapôs:
  
 -Os pobres sempre es tereis, mas a mim, nem sempre....",
Marcos,14,32,32,Luz nas Trevas,16 - Libertação,Indireta,"Sempre que atendia as multidões famélicas de pão, de saúde e de amor, Jesus buscava a solidão para não se afastar da união com Deus, entregando-se-Lhe em dulcificadora oração.",
Marcos,14,32,42,Dimensões da Verdade,39 - Sob testes e exames,Indireta,A honraria foi maior para aquela que lhe beijou os pés...,
Marcos,14,38,38,Alerta,Alerta (prefácio),Direta sem indexação no NT,,
Marcos,14,38,38,Convites da Vida,60 - Convite à Vigilância,Epígrafe,,
Marcos,14,43,45,Lampadário Espírita,57 - Ingratos,Indireta,"... E Judas, o discípulo enganado, conduziu à cruz o Amigo da Humanidade.",
Marcos,14,43,46,Lampadário Espírita,54- Sinal de identificação,Indireta,traição de Judas,
Marcos,14,53,65,O amor como solução,17 - Cólera perversa,Indireta,"(...) pensar em Jesus acusado injustamente, permanecendo tranquilo e silencioso...",
Marcos,14,66,72,Segue em Harmonia, 8 - Faze o mesmo,Indireta,"Jesus aceitou a infâmia, a ingratidão, a perseguição (...) que na sua infinita ignorância não sabiam o que estavam fazendo.",
Marcos,14,66,72,Vidas Vazias, 13 - Ingratidão,Indireta,"Pedro, que conviveu com o Mestre em intimidade e d’Ele recebeu indiscutíveis tesouros de amor e de socorro, negou-O três vezes, apesar de advertido sobre o egoísmo que ainda permanecia no seu caráter.",
Marcos,14,67,71,Luz Viva,22 - Humildade Real,Indireta,"Simão Pedro,que O acompanhou e O negou no momento culminante",
Marcos,14,68,72,Lampadário Espírita,54- Sinal de identificação,Indireta,negação de Pedro,
Marcos,14,72,72,Luz nas Trevas,19 - Glória incomum,Indireta,"Cumpriu o programa que desenhara para a Sua vilegiatura e, no momento exato, foi traído, negado e assassinado covardemente.",
Marcos,14,72,72,Vidas Vazias,4 - Conquista a tua paz,Indireta,"Sabendo que seria traído por um amigo e por outro negado, não demonstrou contrariedade nem decepção.",
Marcos,15,1,1,Vidas Vazias,2 - Rei triunfante,Indireta,"Avançando das praias do lago de Genesaré, ou mar da Galileia, região pobre e desprezada por muitos judeus, atravessava o deserto escaldante e as montanhas, alcançando o Sinédrio formal e hipócrita e abalando-lhe as estruturas frágeis.",
Marcos,15,1,15,Luz Viva,24 - Defesa,,,
Marcos,15,15,15,Lampadário Espírita,41 - Dando balanço,Indireta,trocado por Barrabás,
Marcos,15,21,32,Luz nas Trevas,4 - Lei de sintonia,Indireta,"Parece difícil, nestes dias, a vivência íntegra do amor, tais as circunstâncias e as conquistas bélicas, as forças da violência, o poder das armas... No entanto, nos dias de Jesus não eram diferentes as condições, e por isso Ele foi crucificado.",
Marcos,15,22,22,Tesouros Libertadores,1 - Renovadas Esperanças,Indireta,"Não te deixes perturbar pelos ruídos das propagandas da ilusão, mantém silêncio interno e a visão clara para identificar os necessitados aos quais Ele denominou Filhos do Calvário, e quanto possível, em memória d'Ele, atenua-lhe as dificuldades e os padecimentos atroves que os vergastam. ",
Marcos,15,22,25,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,"Todos os seus, foram passos firmes na direção do porto da paz, o que culminou na crucificação, consequência natural da opção pelo amor aos infelizes e excluídos. ",
Marcos,15,26,26,Tesouros Libertadores,1 -  Renovadas Esperanças,Indireta,"O governo, tão imoral quanto perverso de Herodes, o Grande, espalhava terrror por todo o país, embora subserviente ao imperador desde quando o Senado romano nomeou-o como Rei dos Judeus",
Marcos,15,27,27,Lampadário Espírita, 41 - Dando balanço,Indireta,Confundido entre dois salteadores de má vida,
Marcos,15,32,32,Tesouros Libertadores,6- Lições Libertadoras,Indireta,Ele foi testado de variadas formas,
Marcos,15,33,41,Liberta-te do Mal,Sacrifício por amor,Indireta,"O Calvário de Jesus, assinalado pelos sofrimentos...",
Marcos,15,42,42,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,(...) a sexta-feira da paixão (...),
Marcos,16,1,4,Lampadário Espírita,12 - Imortalidade,Indireta,,
Marcos,16,1,8,Luz nas Trevas,7 - Sofrimento e amor,Indireta,"Somente houve a gloriosa ressurreição do Mestre porque antes aconteceram os aziagos fenômenos de traição, de dor e de abandono que culminaram na Sua morte.",
Marcos,16,6,6,Tesouros Libertadores,6- Lições Libertadoras,Indireta,Também ressuscitarás após o testemunho,
Marcos,16,9,9,Dimensões da Verdade,8 - Sós com os outros,Indireta,Com inexcedível amor a todos perdoou e pediu ao Pai clemência e misericórdia para os alucinados.,
Marcos,16,9,9,Luz nas Trevas,19 - Glória incomum,Indireta,"Mas, apesar dessa circunstância ultriz, voltou a semear a certeza da imortalidade, confirmando os ensinamentos apresentados anteriormente.",
Marcos,16,9,9,Luz Viva,8 - Feminismo,Indireta,"Foi, também, a uma mulher, a quem Ele se apresentou, na ressurreição, como a demonstrar o conceito em que tinha o ser feminino, elegendo-o para dar a boa nova da Sua volta e libertar-se, desde então, dos grilhões que a impiedade e o orgulho lhe haviam colocado ostensivamente.",
Marcos,16,14,14,Luz nas Trevas,28 - Sobre a dúvida,Direta sem indexação no NT,"Se não credes naquilo que vedes, como acreditareis no Pai, a quem ninguém nunca vistes?",
Marcos,16,14,14,Luz nas Trevas,19 - Glória incomum,Indireta,"Mas, apesar dessa circunstância ultriz, voltou a semear a certeza da imortalidade, confirmando os ensinamentos apresentados anteriormente.",
Marcos,16,15,15,Jesus e Atualidade,17 - Jesus e Insegurança,Indireta,Ide e Pregai,
Marcos,16,15,18,Momentos de Felicidade, 8 – Em favor dos enfermos,Indireta,Jesus curava e concedeu aos discípulos a faculdade de recuperar os enfermos,
Marcos,16,19,19,O amor como solução,3 - Princípios organizadores,Indireta,"Jesus imolou-se pelo amor, mais ascendendo no rumo de Deus, o Pai Amantíssimo",
Marcos,16,19,19,Vidas Vazias,22 - A Coroa do Martírio,Indireta,"Foi na cruz que o Mestre confirmou a grandeza do Evangelho e, coroado de espinhos, ascendeu ao Pai através do martírio.",
Marcos,21,10,10,O Ser Consciente,6 - Condicionamentos,Indireta,"""a entrada triunfal e o julgamento arbitrário...""",
Lucas,1,17,17,Convites da Vida,43 - Convite à Prudência,Epígrafe,,
Lucas,2,1,1,Fonte de Luz,35 - Conquistador Incomum,Indireta,Ele havia elegido os dias de Caio Júlio César Otávio...,
Lucas,2,1,1,Benesses Natalinas,5 - Festas e Natal,Indireta,O Mestre Inolvidável mergulhou nas vibrações da Terra....quando Roma decretara o resceamento...,
Lucas,2,1,7,Desperte e Seja Feliz,30 - Natal de amor,Indireta,,
Lucas,2,1,1,Bençãos do Natal,2- Cânticos do Natal,Indireta,"Na exuberância de sua glória, César Otávio decretara o censo, a fim de saber o montante dos valores conquistados e quantidadede vidas submetidas. ",
Lucas,2,1,1,Bençãos do Natal,6- Conquistador incomum,Indireta,"Ele havia elegido os dias de Caio Júlio César Otávio, que a posteridade denominou Augusto, em cujo reinado predominou a paz, se desenvolveu a cultura, de destacou a arte. ",
Lucas,2,1,7,Fonte de Luz,35 - Conquistador incomum,Indireta,Foi nesse cenário de dor que Jesus nasceu...,
Lucas,2,1,20,Momentos de esperança, 17 – A César e a Deus,Indireta,"... nasceu num período festivo, a ocasião do recenseamento...",
Lucas,2,4,4,Bençãos do Natal,6- Conquistador Incomum,Indireta,"No silêncio de uma noite fria, em Belém de Judá, adornado pelo cenário da Natureza e sob a vibração diáfana das onomatopéias e vozes animais. Ele mergulhou nos fluidos  densos da matéria para inaugirar um período novo - a Era do amor!",
Lucas,2,1,7,Benesses Natalinas,Prefácio ,Epígrafe,(todos os versos de 1 a 7),
Lucas,2,7,7,Celeiro de Bênçãos,59 - Epopeia do Natal,Indireta,,
Lucas,2,7,7,Iluminação Interior,26 - O orgulho,Indireta,,
Lucas,2,7,7,Tesouros Libertadores,6 - Lições Libertadoras, Indireta,"Opôs-se com segurança às ilusões do mundo temporal, desde o momento em que optou por um berço de palha, quase em contato direto com a Natureza, que muito amou, e viveu de maneira compatível com cada palavra e conceito que emitiu .",
Lucas,2,7,7,Luz nas Trevas,19 - Glória incomum,Indireta,"Anunciado, desde há muito, como sendo o vingador vitorioso que alçaria a raça que se fizera eleita à glória solar, ocultou-se numa gruta de calcário nos arredores de Belém, a fim de iluminar o mundo para que nunca mais houvesse escuridão.",
Lucas,2,7,7,Benesses Natalinas,6- Natal Inesperado,Indireta,"Frágil, surgiu em uma estrebaria, a fim de que forte, partisse do alto de uma cruz",
Lucas,2,7,8,Benesses Natalinas,8 - Paisagem Natalina,Indireta,"...faze nesta data evocativa da noite santa de Belém, o teu perene momento de redenção...",
Lucas,2,7,8,Benesses Natalinas,9 - Reflexão de Natal,Indireta,"... a estrela simbólica do Natal, como a apontar os rumos que foram traçados de uma singela manjedoura na direção do infinito de tempos e espaços. ",
Lucas,2,8,20,Fonte de Luz,35 - Conquistador incomum,Indireta,Evocando-Lhe o berço de palha emoldurado por estrelas e os animais humildes...,
Lucas,2,8,20,O amor como solução,30 - Paz na Terra,Indireta,Logo recebeu a visita de pastores anônimos e de reis magos que O homenagearam...,
Lucas,2,10,10,Liberta-te do Mal,Conhecimento e segurança,Indireta,... a respeito das pregações de Jesus leva o estudioso a perceber a grande preocupação do Mestre em ....,
Lucas,2,10,10,Seja Feliz Hoje,6 - Exaltação da alegria,Indireta,,
Lucas,2,10,10,Luz nas Trevas,8 - As bênçãos da alegria,Direta,Eis que vos trago Boas-novas de alegria.,
Lucas,2,10,11,Luz nas Trevas,8 - As Bençãos da Alegria,Direta sem indexação no NT,Eis que vos trago Boas-novas de alegria.,
Lucas,2,11,11,Atitudes Renovadas,30 - Elegia do Natal,Indireta,,
Lucas,2,12,12,Luz nas Trevas,19 - Glória incomum,Indireta,"Anunciado, desde há muito, como sendo o vingador vitorioso que alçaria a raça que se fizera eleita à glória solar, ocultou-se numa gruta de calcário nos arredores de Belém, a fim de iluminar o mundo para que nunca mais houvesse escuridão.",
Lucas,2,14,14,Dádivas do Natal,5 - Natal Íntimo,Direta sem indexação no NT,Glária a Deus nas alturas; Paz na Terra e boa vontade para com os homens.,
Lucas,2,14,14,Alegria de Viver,20 - Natal íntimo,Indireta,"Toda a Sua mensagem é assinalada pela esperança, revestida de otimismo e de alegria de viver.",
Lucas,2,14,14,Espírito e Vida,60 - Ante o natal,Direta sem indexação no NT,,
Lucas,2,14,14,Benesses Natalinas,3 - Celebração Natalina,Direta sem indexação ao NT,Glória a Deus nas alturas: paz aos homens de boa vontade!,
Lucas,2,40,40,Ilumina-te,20 - Cidadania universal,Indireta,"Enquanto esteve discretamente no Seu ofício em Nazaré, ninguém lhe conferia valor, importância...",
Lucas,2,40,52,Fonte de Luz,35 - Conquistador incomum,Indireta,"Discreto (...) passou quase desconhecido durante os primeiros anos, com exceção de pequenos acontecimentos...",
Lucas,2,42,51,Vidas Vazias,8 - Sob qualquer aspecto,Indireta,"E Ele, sem qualquer aprendizagem terrestre, aos doze anos de idade dialogou com os rabinos de Jerusalém, portadores de cultura impecável, e pôde embaraçar os interlocutores com capacidade ética e estética surpreendente.",
Lucas,2,46,46,Benesses Natalinas,1 - A benção do Natal,Indireta,"Aqueles que O conheciam na juventude, embora o inesquecível encontro com os doutores da lei, em Jerusalém, nunca suspeitavam que era o Esperado, a quem se referiam as escrituras antigas. ",
Lucas,2,46,46,Benesses Natalinas,5- Festas e Natal,Indireta,"No Santuário do Templo, em Jerusalém, o Embaixador Celeste se desvelou aos doutores e estudiosos, quando a família retorna das festas tradicionais",
Lucas,3,1,1,Entrega-te a Deus,19 - A vitória da verdade,Indireta,"O imperador Tibério, em Roma, que governava o mundo...",
